"year_num","week_num","device","no_of_users"
2014.0,27.0,"macbook air",134
2014.0,27.0,"macbook pro",259
2014.0,27.0,"mac mini",11
2014.0,27.0,"nexus 10",29
2014.0,27.0,"nexus 5",86
2014.0,27.0,"nexus 7",45
2014.0,27.0,"nokia lumia 635",41
2014.0,27.0,"samsumg galaxy tablet",12
2014.0,27.0,"samsung galaxy note",10
2014.0,27.0,"samsung galaxy s4",114
2014.0,27.0,"windows surface",22
2014.0,28.0,"acer aspire desktop",29
2014.0,28.0,"acer aspire notebook",47
2014.0,28.0,"amazon fire phone",10
2014.0,28.0,"asus chromebook",52
2014.0,28.0,"dell inspiron desktop",52
2014.0,28.0,"dell inspiron notebook",91
2014.0,28.0,"hp pavilion desktop",56
2014.0,28.0,"htc one",28
2014.0,28.0,"ipad air",57
2014.0,28.0,"ipad mini",35
2014.0,28.0,"iphone 4s",68
2014.0,28.0,"iphone 5",159
2014.0,28.0,"iphone 5s",79
2014.0,28.0,"kindle fire",25
2014.0,28.0,"lenovo thinkpad",195
2014.0,28.0,"macbook air",140
2014.0,28.0,"macbook pro",301
2014.0,28.0,"mac mini",15
2014.0,28.0,"nexus 10",38
2014.0,28.0,"nexus 5",83
2014.0,28.0,"nexus 7",41
2014.0,28.0,"nokia lumia 635",31
2014.0,28.0,"samsumg galaxy tablet",15
2014.0,28.0,"samsung galaxy note",14
2014.0,28.0,"samsung galaxy s4",119
2014.0,28.0,"windows surface",31
2014.0,29.0,"acer aspire desktop",27
2014.0,29.0,"acer aspire notebook",50
2014.0,29.0,"amazon fire phone",6
2014.0,29.0,"asus chromebook",51
2014.0,29.0,"dell inspiron desktop",55
2014.0,29.0,"dell inspiron notebook",100
2014.0,29.0,"hp pavilion desktop",55
2014.0,29.0,"htc one",26
2014.0,29.0,"ipad air",55
2014.0,29.0,"ipad mini",34
2014.0,29.0,"iphone 4s",58
2014.0,29.0,"iphone 5",148
2014.0,29.0,"iphone 5s",93
2014.0,29.0,"kindle fire",29
2014.0,29.0,"lenovo thinkpad",220
2014.0,29.0,"macbook air",145
2014.0,29.0,"macbook pro",295
2014.0,29.0,"mac mini",28
2014.0,29.0,"nexus 10",28
2014.0,29.0,"nexus 5",83
2014.0,29.0,"nexus 7",39
2014.0,29.0,"nokia lumia 635",34
2014.0,29.0,"samsumg galaxy tablet",9
2014.0,29.0,"samsung galaxy note",10
2014.0,29.0,"samsung galaxy s4",120
2014.0,29.0,"windows surface",33
2014.0,30.0,"acer aspire desktop",29
2014.0,30.0,"acer aspire notebook",52
2014.0,30.0,"amazon fire phone",12
2014.0,30.0,"asus chromebook",47
2014.0,30.0,"dell inspiron desktop",52
2014.0,30.0,"dell inspiron notebook",114
2014.0,30.0,"hp pavilion desktop",57
2014.0,30.0,"htc one",32
2014.0,30.0,"ipad air",50
2014.0,30.0,"ipad mini",36
2014.0,30.0,"iphone 4s",61
2014.0,30.0,"iphone 5",147
2014.0,30.0,"iphone 5s",92
2014.0,30.0,"kindle fire",36
2014.0,30.0,"lenovo thinkpad",209
2014.0,30.0,"macbook air",146
2014.0,30.0,"macbook pro",291
2014.0,30.0,"mac mini",28
2014.0,30.0,"nexus 10",25
2014.0,30.0,"nexus 5",81
2014.0,30.0,"nexus 7",43
2014.0,30.0,"nokia lumia 635",42
2014.0,30.0,"samsumg galaxy tablet",13
2014.0,30.0,"samsung galaxy note",17
2014.0,30.0,"samsung galaxy s4",117
2014.0,30.0,"windows surface",28
2014.0,31.0,"acer aspire desktop",32
2014.0,31.0,"acer aspire notebook",62
2014.0,31.0,"amazon fire phone",12
2014.0,31.0,"asus chromebook",56
2014.0,31.0,"dell inspiron desktop",53
2014.0,31.0,"dell inspiron notebook",125
2014.0,31.0,"hp pavilion desktop",39
2014.0,31.0,"htc one",30
2014.0,31.0,"ipad air",70
2014.0,31.0,"ipad mini",34
2014.0,31.0,"iphone 4s",63
2014.0,31.0,"iphone 5",151
2014.0,31.0,"iphone 5s",100
2014.0,31.0,"kindle fire",24
2014.0,31.0,"lenovo thinkpad",208
2014.0,31.0,"macbook air",156
2014.0,31.0,"macbook pro",317
2014.0,31.0,"mac mini",23
2014.0,31.0,"nexus 10",35
2014.0,31.0,"nexus 5",81
2014.0,31.0,"nexus 7",60
2014.0,31.0,"nokia lumia 635",33
2014.0,31.0,"samsumg galaxy tablet",9
2014.0,31.0,"samsung galaxy note",15
2014.0,31.0,"samsung galaxy s4",104
2014.0,31.0,"windows surface",18
2014.0,32.0,"acer aspire desktop",31
2014.0,32.0,"acer aspire notebook",56
2014.0,32.0,"amazon fire phone",14
2014.0,32.0,"asus chromebook",59
2014.0,32.0,"dell inspiron desktop",42
2014.0,32.0,"dell inspiron notebook",111
2014.0,32.0,"hp pavilion desktop",52
2014.0,32.0,"htc one",13
2014.0,32.0,"ipad air",53
2014.0,32.0,"ipad mini",23
2014.0,32.0,"iphone 4s",52
2014.0,32.0,"iphone 5",133
2014.0,32.0,"iphone 5s",71
2014.0,32.0,"kindle fire",14
2014.0,32.0,"lenovo thinkpad",196
2014.0,32.0,"macbook air",143
2014.0,32.0,"macbook pro",317
2014.0,32.0,"mac mini",24
2014.0,32.0,"nexus 10",19
2014.0,32.0,"nexus 5",65
2014.0,32.0,"nexus 7",39
2014.0,32.0,"nokia lumia 635",30
2014.0,32.0,"samsumg galaxy tablet",7
2014.0,32.0,"samsung galaxy note",14
2014.0,32.0,"samsung galaxy s4",99
2014.0,32.0,"windows surface",18
2014.0,33.0,"acer aspire desktop",37
2014.0,33.0,"acer aspire notebook",56
2014.0,33.0,"amazon fire phone",12
2014.0,33.0,"asus chromebook",61
2014.0,33.0,"dell inspiron desktop",57
2014.0,33.0,"dell inspiron notebook",101
2014.0,33.0,"hp pavilion desktop",51
2014.0,33.0,"htc one",18
2014.0,33.0,"ipad air",45
2014.0,33.0,"ipad mini",31
2014.0,33.0,"iphone 4s",35
2014.0,33.0,"iphone 5",119
2014.0,33.0,"iphone 5s",65
2014.0,33.0,"kindle fire",12
2014.0,33.0,"lenovo thinkpad",177
2014.0,33.0,"macbook air",124
2014.0,33.0,"macbook pro",307
2014.0,33.0,"mac mini",21
2014.0,33.0,"nexus 10",31
2014.0,33.0,"nexus 5",66
2014.0,33.0,"nexus 7",24
2014.0,33.0,"nokia lumia 635",26
2014.0,33.0,"samsumg galaxy tablet",6
2014.0,33.0,"samsung galaxy note",12
2014.0,33.0,"samsung galaxy s4",85
2014.0,33.0,"windows surface",10
2014.0,34.0,"acer aspire desktop",36
2014.0,34.0,"acer aspire notebook",45
2014.0,34.0,"amazon fire phone",14
2014.0,34.0,"asus chromebook",48
2014.0,34.0,"dell inspiron desktop",35
2014.0,34.0,"dell inspiron notebook",111
2014.0,34.0,"hp pavilion desktop",34
2014.0,34.0,"htc one",19
2014.0,34.0,"ipad air",39
2014.0,34.0,"ipad mini",27
2014.0,34.0,"iphone 4s",34
2014.0,34.0,"iphone 5",105
2014.0,34.0,"iphone 5s",69
2014.0,34.0,"kindle fire",14
2014.0,34.0,"lenovo thinkpad",190
2014.0,34.0,"macbook air",134
2014.0,34.0,"macbook pro",308
2014.0,34.0,"mac mini",32
2014.0,34.0,"nexus 10",22
2014.0,34.0,"nexus 5",71
2014.0,34.0,"nexus 7",29
2014.0,34.0,"nokia lumia 635",27
2014.0,34.0,"samsumg galaxy tablet",12
2014.0,34.0,"samsung galaxy note",13
2014.0,34.0,"samsung galaxy s4",76
2014.0,34.0,"windows surface",14
2014.0,35.0,"acer aspire desktop",30
2014.0,35.0,"acer aspire notebook",63
2014.0,35.0,"amazon fire phone",11
2014.0,35.0,"asus chromebook",48
2014.0,35.0,"dell inspiron desktop",48
2014.0,35.0,"dell inspiron notebook",104
2014.0,35.0,"hp pavilion desktop",37
2014.0,35.0,"htc one",26
2014.0,35.0,"ipad air",36
2014.0,35.0,"ipad mini",25
2014.0,35.0,"iphone 4s",50
2014.0,35.0,"iphone 5",100
2014.0,35.0,"iphone 5s",68
2014.0,35.0,"kindle fire",15
2014.0,35.0,"lenovo thinkpad",186
2014.0,35.0,"macbook air",135
2014.0,35.0,"macbook pro",290
2014.0,35.0,"mac mini",29
2014.0,35.0,"nexus 10",23
2014.0,35.0,"nexus 5",67
2014.0,35.0,"nexus 7",31
2014.0,35.0,"nokia lumia 635",17
2014.0,35.0,"samsumg galaxy tablet",13
2014.0,35.0,"samsung galaxy note",13
2014.0,35.0,"samsung galaxy s4",89
2014.0,35.0,"windows surface",20
